TIME_Year;FACT_INDICATOR_FINANCE_Key;UTILITY_Country;INDICATOR_Name;FACT_INDICATOR_FINANCE_Name_In_Document;CURRENCY_Name;INDICATOR_Theme;UTILITY_Name;FACT_INDICATOR_FINANCE_Holding_Company;FACT_INDICATOR_Value;FACT_INDICATOR_FINANCE_Order_Magnitude;FACT_INDICATOR_FINANCE_Mantainer;FACT_INDICATOR_FINANCE_Observations;FACT_INDICATOR_FINANCE_Document;FACT_INDICATOR_FINANCE_Link;FACT_USD_RATE;TIME_Key;FACT_INDICATOR_Value_USD;FACT_INDICATOR_Value_Local
2018;1089323;GUYANA;COSTO DE COMPRA DE ENERGIA;COMPRA DE ENERG�A Y COMPLEMENTARIOS;;PASIVOS;GPL;EMPRESA;19534198;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;19534198000
2019;1089324;GUYANA;COSTO DE COMPRA DE ENERGIA;COMPRA DE ENERG�A Y COMPLEMENTARIOS;;PASIVOS;GPL;EMPRESA;19239526;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;19239526000
2008;1089355;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;5213331;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;526;;5213331000
2009;1089356;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;5228089;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;527;;5228089000
2010;1089357;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;6130524;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;528;;6130524000
2011;1089358;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;6264819;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;529;;6264819000
2012;1089359;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;6673261;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;530;;6673261000
2013;1089360;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;7819488;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;531;;7819488000
2014;1089361;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;8002902;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;532;;8002902000
2015;1089362;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;9701702;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;533;;9701702000
2016;1089363;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;10109708;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;534;;10109708000
2017;1089364;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;9981605;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;535;;9981605000
2018;1089365;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;10230330;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;536;;10230330000
2019;1089366;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;11382917;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;537;;11382917000
2020;1089367;GUYANA;GASTOS TOTALES;CALCULADO;;PASIVOS;GPL;EMPRESA;11661013;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;538;;11661013000
2008;1089397;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;1354885;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;526;;1354885000
2009;1089398;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;1517515;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;527;;1517515000
2010;1089399;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;1869909;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;528;;1869909000
2011;1089400;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;2449161;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;529;;2449161000
2012;1089401;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;2187520;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;530;;2187520000
2013;1089402;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;2527800;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;531;;2527800000
2014;1089403;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;2446946;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;532;;2446946000
2015;1089404;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;3341637;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;533;;3341637000
2016;1089405;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;3334901;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;534;;3334901000
2017;1089406;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;3373747;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;535;;3373747000
2018;1089407;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;3319314;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;536;;3319314000
2019;1089408;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;3394975;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;537;;3394975000
2020;1089409;GUYANA;GASTO DE DEPRECIACION Y AMORTIZACION;CALCULADO;;PASIVOS;GPL;EMPRESA;3331712;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;538;;3331712000
2008;1089418;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;471199;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;526;;471199000
2009;1089419;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;549515;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;527;;549515000
2010;1089420;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;500848;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;528;;500848000
2011;1089421;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;541420;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;529;;541420000
2012;1089422;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;793091;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;530;;793091000
2013;1089423;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;591989;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;531;;591989000
2014;1089424;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;1105940;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;532;;1105940000
2015;1089425;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;847621;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;533;;847621000
2016;1089426;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;853010;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;534;;853010000
2017;1089427;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;814016;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;535;;814016000
2018;1089428;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;934732;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;536;;934732000
2019;1089429;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;890159;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;537;;890159000
2020;1089430;GUYANA;OUTRAS DESPESAS, INGRESOS Y GANANCIAS;CALCULADO;;PASIVOS;GPL;EMPRESA;809115;1000;Daniel Ferreira;;CALCULADO;CALCULADO;;538;;809115000
2008;1089439;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;-2897781;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;526;;-2897781000
2009;1089440;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;2919550;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;527;;2919550000
2010;1089441;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;947738;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;528;;947738000
2011;1089442;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;-4535137;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;529;;-4535137000
2012;1089443;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;-4575342;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;530;;-4575342000
2013;1089444;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;-2969478;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;531;;-2969478000
2014;1089445;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;-1348395;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;532;;-1348395000
2015;1089446;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;3497827;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;3497827000
2016;1089447;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;3527943;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;3527943000
2017;1089448;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;-878672;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;-878672000
2018;1089449;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;-4922072;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;-4922072000
2019;1089450;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;-3413201;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;-3413201000
2020;1089451;GUYANA;EBT;UTILIDAD ANTES DE IMPUESTO SOBRE LA RENTA Y DIFERIDO;;CAPITAL PROPRIO;GPL;EMPRESA;-546623;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;-546623000
2008;1089460;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;-958289;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;526;;-958289000
2009;1089461;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;1112352;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;527;;1112352000
2010;1089462;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;394379;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;528;;394379000
2011;1089463;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;-1223941;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;529;;-1223941000
2012;1089464;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;2740433;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;530;;2740433000
2013;1089465;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;-279895;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;531;;-279895000
2014;1089466;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;-363399;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;532;;-363399000
2015;1089467;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;155700;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;155700000
2016;1089468;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;-2702660;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;-2702660000
2017;1089469;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;-165478;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;-165478000
2018;1089470;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;-1050857;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;-1050857000
2019;1089471;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;-430481;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;-430481000
2020;1089472;GUYANA;IMPUESTOS;IMPUESTOS SOBRE LA RENTA;;PASIVOS;GPL;EMPRESA;-3705;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;-3705000
2008;1089481;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;-1939492;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;526;;-1939492000
2009;1089482;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;1807198;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;527;;1807198000
2010;1089483;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;553359;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;528;;553359000
2011;1089484;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;-3311196;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;529;;-3311196000
2012;1089485;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;-7315775;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;530;;-7315775000
2013;1089486;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;-2689583;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;531;;-2689583000
2014;1089487;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;-984996;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;532;;-984996000
2015;1089488;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;3342127;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;3342127000
2016;1089489;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;6230603;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;6230603000
2017;1089490;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;-713194;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;-713194000
2018;1089491;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;-3871215;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;-3871215000
2019;1089492;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;-2982720;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;-2982720000
2020;1089493;GUYANA;BENEFICIO NETO;UTILIDAD;;CAPITAL PROPRIO;GPL;EMPRESA;-542918;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;-542918000
2008;1089502;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;-1386764;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;526;;-1386764000
2009;1089503;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;4840585;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;527;;4840585000
2010;1089504;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;2908265;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;528;;2908265000
2011;1089505;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;-1614351;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;529;;-1614351000
2012;1089506;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;-1742699;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;530;;-1742699000
2013;1089507;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;233548;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;531;;233548000
2014;1089508;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;2028223;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;532;;2028223000
2015;1089509;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;8441203;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;8441203000
2016;1089510;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;8398464;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;8398464000
2017;1089511;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;3828147;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;3828147000
2018;1089512;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;-230696;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;-230696000
2019;1089513;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;1486270;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;1486270000
2020;1089514;GUYANA;EBITDA;EBT - RESULTADO FINANCIERO + DEPRECIACION  Y AMORTIZACION;;CAPITAL PROPRIO;GPL;EMPRESA;4111423;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;4111423000
2009;1089524;GUYANA;OPEX;COSTO DE VENTAS + GASTOS DE ADMINISTRACION + DEPRECIACION Y AMORTIZACION - COMPRA DE ENERGIA;;PASIVOS;GPL;EMPRESA;7936429;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;527;;7936429000
2010;1089525;GUYANA;OPEX;COSTO DE VENTAS + GASTOS DE ADMINISTRACION + DEPRECIACION Y AMORTIZACION - COMPRA DE ENERGIA;;PASIVOS;GPL;EMPRESA;8890385;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;528;;8890385000
2011;1089526;GUYANA;OPEX;COSTO DE VENTAS + GASTOS DE ADMINISTRACION + DEPRECIACION Y AMORTIZACION - COMPRA DE ENERGIA;;PASIVOS;GPL;EMPRESA;9407636;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;529;;9407636000
2012;1089527;GUYANA;OPEX;COSTO DE VENTAS + GASTOS DE ADMINISTRACION + DEPRECIACION Y AMORTIZACION - COMPRA DE ENERGIA;;PASIVOS;GPL;EMPRESA;31126722;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;530;;31126722000
2013;1089528;GUYANA;OPEX;COSTO DE VENTAS + GASTOS DE ADMINISTRACION + DEPRECIACION Y AMORTIZACION - COMPRA DE ENERGIA;;PASIVOS;GPL;EMPRESA;10305934;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;531;;10305934000
2014;1089529;GUYANA;OPEX;COSTO DE VENTAS + GASTOS DE ADMINISTRACION + DEPRECIACION Y AMORTIZACION - COMPRA DE ENERGIA;;PASIVOS;GPL;EMPRESA;10859093;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;532;;10859093000
2015;1089530;GUYANA;OPEX;COSTO DE VENTAS + GASTOS DE ADMINISTRACION + DEPRECIACION Y AMORTIZACION - COMPRA DE ENERGIA;;PASIVOS;GPL;EMPRESA;12428236;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;12428236000
2016;1089531;GUYANA;OPEX;COSTO DE VENTAS + GASTOS DE ADMINISTRACION + DEPRECIACION Y AMORTIZACION - COMPRA DE ENERGIA;;PASIVOS;GPL;EMPRESA;12696235;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;12696235000
2017;1089532;GUYANA;OPEX;COSTO DE VENTAS + GASTOS DE ADMINISTRACION + DEPRECIACION Y AMORTIZACION - COMPRA DE ENERGIA;;PASIVOS;GPL;EMPRESA;13481923;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;13481923000
2018;1089533;GUYANA;OPEX;COSTO DE VENTAS + GASTOS DE ADMINISTRACION + DEPRECIACION Y AMORTIZACION - COMPRA DE ENERGIA;;PASIVOS;GPL;EMPRESA;14193076;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;14193076000
2019;1089534;GUYANA;OPEX;COSTO DE VENTAS + GASTOS DE ADMINISTRACION + DEPRECIACION Y AMORTIZACION - COMPRA DE ENERGIA;;PASIVOS;GPL;EMPRESA;15110286;1000;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;15110286000
2014;1090054;PANAMA;COSTO TOTAL;APROVISIONAMIENTOS;;PASIVOS;EDECHI;EMPRESA;111783672;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;532;;111783672
2015;1090055;PANAMA;COSTO TOTAL;APROVISIONAMIENTOS;;PASIVOS;EDECHI;EMPRESA;105221689;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;105221689
2016;1090056;PANAMA;COSTO TOTAL;APROVISIONAMIENTOS;;PASIVOS;EDECHI;EMPRESA;109702198;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;109702198
2017;1090057;PANAMA;COSTO TOTAL;APROVISIONAMIENTOS;;PASIVOS;EDECHI;EMPRESA;118038042;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;118038042
2018;1090058;PANAMA;COSTO TOTAL;APROVISIONAMIENTOS;;PASIVOS;EDECHI;EMPRESA;126938846;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;126938846
2019;1090059;PANAMA;COSTO TOTAL;APROVISIONAMIENTOS;;PASIVOS;EDECHI;EMPRESA;137872353;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;137872353
2020;1090060;PANAMA;COSTO TOTAL;APROVISIONAMIENTOS;;PASIVOS;EDECHI;EMPRESA;115032304;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;115032304
2014;1090075;PANAMA;COSTO DE COMPRA DE ENERGIA;COMPRAS;;PASIVOS;EDECHI;EMPRESA;104639601;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;532;;104639601
2015;1090076;PANAMA;COSTO DE COMPRA DE ENERGIA;COMPRAS;;PASIVOS;EDECHI;EMPRESA;97384380;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;97384380
2016;1090077;PANAMA;COSTO DE COMPRA DE ENERGIA;COMPRAS;;PASIVOS;EDECHI;EMPRESA;98565589;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;98565589
2017;1090078;PANAMA;COSTO DE COMPRA DE ENERGIA;COMPRAS;;PASIVOS;EDECHI;EMPRESA;106204675;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;106204675
2018;1090079;PANAMA;COSTO DE COMPRA DE ENERGIA;COMPRAS;;PASIVOS;EDECHI;EMPRESA;110712565;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;110712565
2019;1090080;PANAMA;COSTO DE COMPRA DE ENERGIA;COMPRAS;;PASIVOS;EDECHI;EMPRESA;117468465;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;117468465
